id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
6422,Nashville Charm,12172,Michele,,District 6,36.173151457237736,-86.73581295614261,Private room,40,1,543,2018-11-07,4.67,1,168
20847,East Nashville Retro Ranch!,79021,Kristina,,District 7,36.19639650347347,-86.70426664826425,Private room,41,1,139,2018-10-23,1.32,3,101
25341,East Nashville Retro Ranch BR #2,79021,Kristina,,District 7,36.19705260663252,-86.70493705451717,Private room,65,5,100,2018-09-16,0.97,3,179
25342,East Nashville Retro Ranch BR #3,79021,Kristina,,District 7,36.19711511602447,-86.7044544091669,Private room,70,1,5,2016-09-25,0.05,3,0
25613,108 Year Old East Nashville Home,95811,Nell,,District 6,36.178263085395876,-86.74162211853232,Private room,93,2,447,2018-11-11,4.29,1,317
37306,8th South Private Room&Bath - Female(s)/F+M Only,161033,Carly,,District 17,36.133109327706684,-86.77476703844633,Private room,140,2,100,2018-11-11,0.99,1,51
39870,Close to Vanderbilt 2,171184,Evelyn,,District 18,36.12522905242001,-86.81277967753711,Private room,55,1,132,2018-11-11,5.01,2,206
72906,Vandy/Belmont/10 mins to Broadway - Sunny 800 sqft,176117,Richard Carson,,District 18,36.13059676591811,-86.80045100464365,Entire home/apt,90,2,504,2018-11-12,5.56,1,289
80410,Historic East Nashville  1906 with Hot Tub!,432441,Paul,,District 6,36.17839355231161,-86.74866055777098,Private room,95,2,217,2018-10-07,2.33,2,283
125579,"Uberhip 12th South, Walk Everywhere",624167,Mary Elizabeth,,District 17,36.130543980874414,-86.78762158446033,Entire home/apt,195,1,148,2018-11-12,1.64,1,128
136015,Apart. on the Ridge near Opryland,666322,Dave And Peggy,,District 15,36.194635749824066,-86.67195389978596,Entire home/apt,96,30,49,2017-07-31,0.54,4,291
168097,This Could Be Your Sanctuary!,801066,Linda,,District 27,36.07039063248115,-86.73118156768857,Private room,32,30,1,2011-12-24,0.01,1,179
258817,"ButterflyRoom,Morningstar, open dec 2018",22296,Diana,,District 12,36.16249333870617,-86.5898849663375,Private room,31,2,95,2017-08-21,1.13,7,354
280842,3 Bedroom House on the Greenway,666322,Dave And Peggy,,District 15,36.19408921544906,-86.67320170624224,Entire home/apt,135,3,160,2018-11-11,1.98,4,303
289242,"MorningstarHouse, NiceRoom-monthly-openJan1",22296,Diana,,District 12,36.161022499052876,-86.59206510306326,Private room,30,2,75,2017-06-02,0.89,7,365
319705,"SuperSweetSTUDIO, jacuzzi, monthly stay-openDec17",22296,Diana,,District 12,36.162963221901514,-86.59186559179034,Private room,35,30,46,2018-07-31,0.56,7,365
325560,Vandy/Belmont Awesome Lux Top Corner Condo!,1665174,Heather,,District 17,36.13101970750085,-86.78210205592208,Entire home/apt,99,1,243,2018-10-17,3.14,3,57
329997,Cottage with courtyard! Private! 5 mins to Dwntown,1684051,Rick,,District 19,36.17641123743564,-86.79845965875059,Entire home/apt,75,2,773,2018-11-13,9.42,7,215
340081,"MorningstarHouse, colorful, monthly-open Dec 10",22296,Diana,,District 12,36.161278397382894,-86.5898591531635,Private room,30,4,76,2018-05-23,0.93,7,365
366339,Artist Home and Treehouse East Nash,1511167,Sloane And Emily,,District 8,36.22791874427219,-86.7388431793286,Entire home/apt,250,2,22,2018-03-28,0.28,2,20
371066,Historic East Nashville,1869331,Ron,,District 6,36.18461673402038,-86.73794821662894,Private room,89,2,299,2018-11-12,5.26,1,316
395889,Contemporary-Mod Paradise w/ Private Bathroom,1547584,Kurt,,District 6,36.164924272367344,-86.75010072740417,Private room,95,1,186,2018-10-22,2.38,1,333
421290,Private Red Suite/King Bed/Wetbar/Bath/5 min to DT,1684051,Rick,,District 19,36.17277366702677,-86.79330730219239,Entire home/apt,75,1,631,2018-11-04,8.05,7,35
430052,"Private Vaulted Suite! King,Wet Bar,Bath/5 min DT!",1684051,Rick,,District 19,36.173230428698204,-86.79176834803484,Private room,75,1,632,2018-11-04,8.08,7,52
431258,"2Bdrms/2,5 baths, 5 mins to Downtown! Sleeps 4!",1684051,Rick,,District 19,36.17663020845814,-86.80003344826537,Entire home/apt,125,2,381,2018-11-12,4.84,7,239
475134,Nashville on the Range,1643782,Katy,,District 17,36.11693485927458,-86.78936972060382,Entire home/apt,137,3,106,2018-11-11,1.36,1,360
