id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
15989987,Cozy Country Cottage off Briley Parkway,44310636,Becky,,District 1,36.224671564299676,-86.8801413046046,Entire home/apt,95,2,16,2017-08-28,1.88,1,155
15597267,Newly Renovated Suburban Oasis 15 mi from downtown,27782198,LeShawnda,,District 1,36.32139474976508,-86.8634615663232,Private room,52,1,57,2017-09-04,5.68,1,4
12222392,Nashville Home,63493720,Shalita,,District 1,36.219464249841906,-86.85565118759637,Entire home/apt,180,2,3,2016-07-08,0.20,1,256
7632545,Beautiful 4 bedroom home,32138002,Kiesha,,District 1,36.227920425849646,-86.82668168232095,Entire home/apt,350,3,5,2017-08-21,0.45,1,359
19594301,Glamping in Nashville!,86893538,Kimberly,,District 1,36.3023919756432,-86.92439572466824,Entire home/apt,54,1,4,2017-08-21,1.71,2,269
7732118,"Whooping Crane Farm, 12 min. from Nashville",7555756,Ellen,,District 1,36.17310612115335,-86.93054124549907,Entire home/apt,265,2,12,2017-08-22,0.77,1,181
11280184,Emma's Place,58915145,James,,District 1,36.21831108741347,-86.85883310177294,Entire home/apt,225,2,28,2017-09-04,1.59,1,168
20550608,Camping and Cookout for the Eclipse!!!!,146621980,Tamara,,District 1,36.323992544320674,-86.92130294076888,Private room,60,1,2,2017-08-22,2,7,0
1733111,Bells Bend Country Cottage,9130922,Katie,,District 1,36.23872127680184,-86.91427949204541,Entire home/apt,150,3,33,2017-05-14,0.69,1,364
20542777,Camping and Cookout for the Eclipse!!!!,146621980,Tamara,,District 1,36.322619174947214,-86.92040101001307,Private room,60,1,1,2017-08-21,1,7,0
20542937,Camping and Cookout for the Eclipse!!!,146621980,Tamara,,District 1,36.32182874524342,-86.921365467903,Private room,60,1,1,2017-08-21,1,7,0
18488624,Your Nashville Home Away From Home!,111147277,Alicia,,District 1,36.22152093760691,-86.87654031030382,Entire home/apt,375,1,1,2017-09-12,1,1,167
5795487,Luxurious Cozy Guesthouse Retreat,30066816,Jennifer,,District 1,36.2740376611381,-86.91007695351229,Entire home/apt,125,3,131,2017-09-12,4.50,1,216
13171083,Song Bird Farm,73600601,Kathleen,,District 1,36.27433216548127,-86.87591428411152,Private room,70,2,6,2017-07-05,0.41,1,85
9238908,___** Cozy Purple Haven **___,26775113,Jo'An,,District 1,36.21090641866435,-86.85808231818096,Private room,37,1,30,2017-08-04,2.39,3,356
20458780,The Albino Deer house! 8 miles from Downtown.,129700239,Gregoire S.,,District 1,36.23453943138734,-86.8857863629836,Entire home/apt,155,1,3,2017-09-10,3,1,161
15771867,16 min from downtown Nashville! 2 bedrooms 4 U!,101994690,David,,District 1,36.184379603583686,-86.84208927284963,Entire home/apt,44,30,8,2017-02-17,0.82,1,233
10350534,Back Creek Meadow in Bells Bend,2034264,Lara And Chad,,District 1,36.215502643194334,-86.93116822825407,Entire home/apt,300,1,30,2017-09-11,1.88,1,40
3760692,Love Nashville? Paradise Ridge,14171282,Susan And Fred,,District 1,36.28627981671294,-86.89657705742579,Private room,100,1,90,2017-09-10,2.41,1,351
20537921,Camping and Cookout for the Eclipse!!!,146621980,Tamara,,District 1,36.32270078929489,-86.92015769062401,Private room,60,1,1,2017-08-21,1,7,0
16378763,"Historic Whites Creek, Nashville TN",40638300,Tammy,,District 1,36.29991353680347,-86.85824584644291,Entire home/apt,185,2,9,2017-08-21,1.05,1,154
19983216,Villa Bella,4660176,Thomas,,District 1,36.286720704814684,-86.84359140848811,Private room,80,1,0,,,1,87
5153186,Yoga Studio Included in this Stay!,6638596,John & Mary,,District 1,36.221634926194625,-86.86605934578066,Private room,60,2,35,2017-05-22,1.15,1,256
18686357,Private Guest House nestled on lake and woods,86893538,Kimberly,,District 1,36.30225709850343,-86.9236873279607,Entire home/apt,73,1,36,2017-09-04,9.08,2,16
1074050,The Dream Big Room,3155867,Koya,,District 1,36.217328466691484,-86.84545380606562,Private room,75,2,86,2017-08-20,1.90,2,365
13279879,Country Retreat with pool; minutes to Nashville,74865831,Bryan,,District 1,36.3226376167665,-86.88739101867816,Entire home/apt,89,2,42,2017-09-03,2.81,1,79
5176412,__** Peaceful Green Zen Den **__,26775113,Jo'An,,District 1,36.21279955347005,-86.85835513082465,Private room,37,1,42,2017-08-28,2.38,3,360
13362686,Bunk beds. 5 miles from downtown.,35730321,Derek,,District 1,36.208795634033294,-86.8360835969875,Private room,40,1,37,2017-06-05,2.40,2,350
20015800,Stylish One Bedroom Apt w/Covered Parking,914941,Lori,,District 1,36.21922501922985,-86.82965615485912,Entire home/apt,95,1,7,2017-09-11,4.57,1,50
