id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
6422,Nashville Charm,12172,Michele,,District 6,36.17315,-86.73581,Private room,40,1,605,2019-06-04,4.91,1,201
20847,East Nashville Retro Ranch!,79021,Kristina,,District 7,36.1964,-86.70427,Private room,41,60,138,2018-10-23,1.23,3,0
25341,East Nashville Retro Ranch BR #2,79021,Kristina,,District 7,36.19705,-86.70494,Private room,65,60,107,2019-03-26,0.98,3,128
25342,East Nashville Retro Ranch BR #3,79021,Kristina,,District 7,36.19712,-86.70445,Private room,70,30,5,2016-09-25,0.05,3,0
25613,Room in Historic East Nashville Craftsman Home,95811,Nell,,District 6,36.17826,-86.74162,Private room,93,2,476,2019-05-25,4.28,1,268
37306,Private Room for Women and Couples in a Historic Craftsman,161033,Carly,,District 17,36.13311,-86.77477,Private room,125,2,110,2019-06-03,1.02,1,71
39870,Close to Vanderbilt 2,171184,Evelyn,,District 18,36.12523,-86.81278,Private room,55,1,189,2019-06-03,5.68,2,220
65448,"Nashville Loft - Downtown, Walk to Honky-Tonks!",319913,Reservations,,District 19,36.16539,-86.77589,Entire home/apt,272,2,34,2019-04-11,0.38,40,334
72906,Vandy/Belmont/10 mins to Broadway - Sunny 800 sqft,176117,Richard Carson,,District 18,36.1306,-86.80045,Entire home/apt,90,2,550,2019-06-06,5.64,1,281
80410,Historic East Nashville  1906 with Hot Tub!,432441,Paul,,District 6,36.17839,-86.74866,Private room,95,2,220,2019-05-26,2.20,1,150
125579,"Uberhip 12th South, Walk Everywhere",624167,Mary Elizabeth,,District 17,36.13054,-86.78762,Entire home/apt,125,1,189,2019-05-24,1.95,1,41
136015,Apart. on the Ridge near Opryland,666322,Dave And Peggy,,District 15,36.19464,-86.67195,Entire home/apt,96,30,50,2018-02-10,0.52,4,0
258817,"ButterflyRoom,Morningstar, monthly-open May2019",22296,Diana,,District 12,36.16249,-86.58988,Private room,32,2,95,2017-08-21,1.04,7,314
280842,3 Bedroom House on the Greenway,666322,Dave And Peggy,,District 15,36.19409,-86.6732,Entire home/apt,135,3,170,2019-05-26,1.94,4,298
289242,"MorningstarHouse, NiceRoom-monthly-open July2019",22296,Diana,,District 12,36.16102,-86.59207,Private room,29,30,76,2019-01-12,0.84,7,314
319705,"SuperSweetSTUDIO, jacuzzi, monthly-openJune2019",22296,Diana,,District 12,36.16296,-86.59187,Private room,35,4,47,2019-03-26,0.53,7,314
329997,A+ Cottage with courtyard! Private! 5 mins to DT,1684051,Rick,,District 19,36.17641,-86.79846,Entire home/apt,55,2,830,2019-06-06,9.33,6,257
340081,"MorningstarHouse, colorful, monthly- openJuly2019",22296,Diana,,District 12,36.16128,-86.58986,Private room,29,30,76,2018-05-23,0.86,7,345
366339,Artist Home and Treehouse East Nash,1511167,Sloane And Emily,,District 8,36.22792,-86.73884,Entire home/apt,250,2,55,2019-04-20,0.63,1,42
371066,Historic East Nashville,1869331,Ron,,District 6,36.18462,-86.73795,Private room,89,2,324,2019-06-10,5.08,1,281
395889,Contemporary-Mod Paradise w/ Private Bathroom,1547584,Kurt,,District 6,36.16492,-86.7501,Private room,95,1,205,2019-05-26,2.41,1,303
421290,Private Red Suite/King Bed/Wetbar/Bath/5 min to DT,1684051,Rick,,District 19,36.17277,-86.79331,Entire home/apt,55,2,674,2019-05-30,7.90,6,28
430052,"Private Vaulted Suite! King,Wet Bar,Bath/5 min DT!",1684051,Rick,,District 19,36.17323,-86.79177,Entire home/apt,55,2,671,2019-05-23,7.88,6,27
431258,"2Bdrms/2,5 baths, 5 mins to Downtown! Sleeps 4!",1684051,Rick,,District 19,36.17663,-86.80003,Entire home/apt,150,2,402,2019-06-04,4.69,6,267
475134,Nashville on the Range,1643782,Katy,,District 17,36.11693,-86.78937,Entire home/apt,137,3,113,2019-04-29,1.33,1,359
479100,Best location in Nashville WEST END,2373011,J.,,District 24,36.13218,-86.83499,Private room,79,2,54,2019-06-09,0.85,6,365
491172,French Flair #1 : The Paris room,2427763,Dody &Rodney,,District 5,36.18756,-86.74721,Private room,84,1,318,2019-06-02,3.71,4,343
501570,French Flair #2: The Loire room,2427763,Dody &Rodney,,District 6,36.19141,-86.74371,Private room,84,1,249,2019-06-08,2.92,4,343
513664,Cozy and Convenient in Donelson!  ,2530554,Lori,,District 14,36.15478,-86.64912,Private room,90,2,27,2015-06-29,0.36,1,345
609655,Charming 2BR/1 BA/Kitchen in lovely Inglewood,3023101,Jeannie,,District 7,36.21608,-86.70866,Entire home/apt,99,30,271,2017-01-02,3.31,1,160
632636,Admire the Skyline from the Rooftop Terrace at a Chic Suite,1684051,Rick,,District 19,36.17326,-86.79358,Entire home/apt,95,2,205,2019-05-23,2.46,6,27
634515,12 South  Loft on Belmont Blvd,2078813,Daniel,,District 18,36.12989,-86.79583,Entire home/apt,99,2,115,2019-06-02,1.46,1,336
637425,French Flair #3 : The Art bedroom,2427763,Dody &Rodney,,District 6,36.19185,-86.74475,Private room,83,1,147,2019-06-08,1.77,4,345
641688,West Nashville Clean Quiet Private ,3206011,Alex,,District 22,36.06817,-86.94126,Private room,39,31,115,2019-03-25,1.38,2,332
645985,Sweet Serenity Haven,1515903,Karen,,District 6,36.18565,-86.71511,Private room,35,30,45,2019-02-25,0.55,1,202
648088,Heart of Music Row  PRIVATE SUITE (600 sq FT),3250769,Robyn,,District 19,36.14449,-86.79087,Private room,115,2,333,2019-06-09,4.06,1,279
674159,A Clean Quiet Suite in a Great Location,3422455,John,,District 6,36.17242,-86.73742,Entire home/apt,147,2,238,2019-05-26,3.04,1,332
681880,Luxurious Rustic Cozy Guesthouse,3471162,Tiffany,,District 7,36.21628,-86.70935,Entire home/apt,89,1,509,2019-06-08,6.26,1,99
686218,**NEW!! Pillow Street Cottage,2883561,Kate Ashby,,District 17,36.13998,-86.76632,Entire home/apt,250,2,15,2019-05-26,0.18,1,143
747429,Downtown Great Getaway,2066370,Lisa,,District 21,36.18276,-86.80296,Entire home/apt,295,90,52,2018-05-28,0.65,2,353
775235,Nashville Urban Farm Bellevue,3020125,Kristi,,District 35,36.05154,-86.9382,Entire home/apt,60,30,60,2018-09-01,0.75,2,215
882295,"V.clean, quiet, new reno 1BR near dwntwn Nash",4668220,Johnny,,District 21,36.13995,-86.82017,Entire home/apt,99,25,1,2013-09-16,0.01,1,339
914787,Stay Near Downtown Nashville!,4910520,Sky Share Management,,District 19,36.17631,-86.78267,Entire home/apt,175,1,258,2019-04-21,3.39,6,347
980344,Downstairs/Midweek only Designer Home n Music City,441439,Angela,,District 24,36.144,-86.82827,Private room,250,2,1,2018-03-21,0.07,4,68
994298,Historic Bungalow - 3BR & 2Baths,5461408,Nancy,,District 17,36.13425,-86.77801,Private room,325,2,102,2018-01-15,1.38,2,0
