id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
34674402,Luxury Apartment steps away from Broadway,100695204,Mallory,,District 19,36.15485,-86.77448,Entire home/apt,199,1,4,2019-09-16,1.45,1,67
34677551,Rockabilly Suite Minutes to the Opry & Downtown!,256461680,Karla,,District 19,36.15012,-86.72444,Entire home/apt,54,1,2,2019-08-31,0.50,20,299
34677852,Oliver | 12 South | Suite 203,221268878,Chris,,District 17,36.12358,-86.78922,Entire home/apt,170,1,18,2019-09-15,5.05,14,154
34678709,Cozy East Nashville Studio Long Term Rental!,256461680,Karla,,District 5,36.19404,-86.76662,Entire home/apt,149,30,0,,,20,214
34679369,Willie & Carrie Headliner Combo,190650678,Bailey,,District 21,36.14646,-86.82087,Entire home/apt,389,2,0,,,39,344
34679541,Trendy 3 BDRM New Home- Rooftop Views of Downton!,50670854,Lauren,,District 5,36.1911,-86.76165,Entire home/apt,405,1,2,2019-09-02,2,3,27
34680391,Discover the One and Only Nashville!,92676764,Vmg,,District 15,36.22145,-86.70434,Entire home/apt,353,3,0,,,63,0
34681984,Trendy Town Home #A,206929251,DeRon,,District 21,36.16398,-86.80497,Entire home/apt,250,1,14,2019-09-14,3.56,3,72
34683070,Trendy Town Home #B,206929251,DeRon,,District 19,36.16486,-86.80464,Entire home/apt,350,1,13,2019-09-15,3.33,3,61
34683090,Luxury 2 Master BR's Blocks to Broadway w/ pool!,50119881,Mark,,District 19,36.15405,-86.77518,Entire home/apt,199,1,18,2019-09-05,5.35,2,99
34683165,Serene & Spacious + Airport/Downtown/Opry,189705395,Cindy,,District 13,36.13944,-86.6351,Entire home/apt,79,1,33,2019-09-15,8.39,1,228
34683316,Trendy Town Home #C,206929251,DeRon,,District 21,36.16455,-86.8063,Entire home/apt,300,1,14,2019-09-15,3.26,3,70
34684170,Beautiful city view - walk to downtown!,239117153,Elizabeth,,District 19,36.16991,-86.78896,Entire home/apt,125,2,7,2019-08-19,3.09,1,0
34685328,2 Bed Private Guest House in 12th South!,46657114,Lauren,,District 17,36.12949,-86.78475,Entire home/apt,129,1,13,2019-09-01,4.33,1,322
34688029,ROOFTOP PARADISE★1 MILE to Broadway★Sleeps 12,261668931,Ryan,,District 19,36.17083,-86.79456,Entire home/apt,299,2,19,2019-09-16,4.67,2,72
34689045,Bring a Tent — Camp near Downtown,2373011,J.,,District 23,36.10262,-86.87278,Private room,30,2,0,,,6,89
34689415,Bring a Tent & Camp near Downtown,2373011,J.,,District 24,36.13053,-86.83457,Private room,29,2,0,,,6,90
34689992,"Luxurious Home, King Bed Suite> Close to Downtown",211881448,Jordan & Manny,,District 20,36.13764,-86.87377,Entire home/apt,110,1,34,2019-09-16,8.29,1,123
