id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
6540997,Charm in the Garden District,34208426,Liz,,Garden District,29.929756855963202,-90.08616419770345,Entire home/apt,450,1,15,2016-05-28,1.24,1,356
12562504,The Heart of Magazine Street,12992223,Terrie,,Garden District,29.92506478277737,-90.08698139889859,Entire home/apt,150,1,1,2016-05-29,1,1,365
8626782,Charming & spacious with parking!!,45374352,Andrew,,Garden District,29.928050445898787,-90.08016686933026,Entire home/apt,150,1,16,2016-05-17,2.05,2,79
914617,Parks-Bowman Mansion: The Library,4795675,Adrienne,,Garden District,29.927366407768638,-90.08222442071569,Private room,115,1,182,2016-05-30,4.49,3,346
10428840,Mardi Gras Garden District Home,53712667,Medlock,,Garden District,29.928612122540994,-90.08285317415378,Entire home/apt,482,3,0,,,1,0
11847847,Luxury Garden Dist. Carriage House,8254025,Denver,,Garden District,29.924135431013305,-90.08698863824472,Entire home/apt,97,3,0,,,1,0
13138186,Beautiful private bedroom with ensuite bath,17586165,Frederic,,Garden District,29.927372455294158,-90.08787882492241,Private room,175,2,0,,,1,90
11813186,Fab Garden Dist/Magazine Townhouse/Prime Location,46417812,Jan,,Garden District,29.925688264418195,-90.08637349451962,Entire home/apt,375,3,5,2016-05-22,3.13,1,166
2644133,Luxury Garden District New Orleans!,13536452,Edward,,Garden District,29.925935998408598,-90.0879866004126,Entire home/apt,125,3,15,2016-05-22,0.57,3,340
3257647,Guesthouse W/ Beautiful Courtyard!,16474497,Kristen,,Garden District,29.93098330811092,-90.08423535626264,Entire home/apt,85,3,82,2016-05-30,3.99,1,314
4855191,Guest House in the Garden District,24976667,Alex,,Garden District,29.930905614085596,-90.08258175677157,Entire home/apt,250,2,37,2016-05-29,2.35,1,344
9385410,Directly on the streetcar line!,48273922,David,,Garden District,29.931859491383094,-90.08351340693639,Entire home/apt,600,2,13,2016-05-22,2.10,2,48
10925522,Mansion on St. Charles Ave,13714179,Jeanne,,Garden District,29.929111115689878,-90.08869771124672,Entire home/apt,175,2,8,2016-05-30,2.96,3,349
