id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
10291,Spacious Cottage in Mid-City!,31004,Jill,,Navarre,29.986663211521037,-90.10928208440595,Entire home/apt,300,2,87,2018-07-22,0.96,1,358
19091,Fully Furnished Cozy Apartment,72880,John,,Leonidas,29.9625656335813,-90.11876977912294,Entire home/apt,100,1,398,2018-08-05,3.93,1,325
32250,Maisonette; Steps to St Charles Ave,138383,Ariana,,Central City,29.933654804353722,-90.0840317471018,Entire home/apt,140,3,396,2018-07-09,4.33,2,0
53173,$99 SUMMER DEAL!  BEST REVIEWS!  WALK > FQ,12154,Karen,,St. Claude,29.964832363893066,-90.03905718186576,Private room,115,3,126,2018-05-30,1.34,2,352
53544,Historical Bywater Mother in Law Cottage,249527,Lee,,Bywater,29.966971716132523,-90.03068379266907,Entire home/apt,50,5,166,2018-07-11,1.74,1,74
54254,Less than 1 mile to French Quarter,74821,Heidi,,St. Roch,29.97041267090185,-90.05485006395632,Entire home/apt,65,3,193,2018-07-19,2.12,2,138
62562,Historic House Loyal's Place whole apartment,304657,John,,Treme - Lafitte,29.971178719626117,-90.07253856621988,Entire home/apt,325,2,0,,,8,89
62658,Historic Marigny Creole Home,297668,Lorelei,,Bywater,29.965223997070428,-90.05084900668965,Entire home/apt,200,3,64,2018-07-09,0.69,2,24
66972,The Retreat in Lovely Bayou St John,329415,Geoff,,Bayou St. John,29.975901926957544,-90.08143541974097,Entire home/apt,123,2,182,2018-07-11,1.97,2,352
71624,Ravenwood Manor (Historic Bywater),367223,Susan,,St. Claude,29.966119453644524,-90.03668419556287,Entire home/apt,130,2,194,2018-07-09,2.13,1,349
74498,Maison Marais 1: Large Local Living,391462,Georgia,,St. Roch,29.970528135500526,-90.05332186887223,Entire home/apt,105,3,419,2018-07-15,4.65,3,276
76674,Luxury & history in the Big Easy #1,409545,Matt McShee,,Bywater,29.961895595989976,-90.0358852850365,Private room,99,3,154,2018-07-09,2.30,2,159
79536,SpaciousCleanFunctional Private Apt,428362,Miriam,,Seventh Ward,29.97871698813793,-90.07405177235498,Entire home/apt,91,3,396,2018-07-08,4.48,1,60
79542,Beautiful Room Uptown Home - License 17STR-10083,428397,James,,Marlyville - Fontainbleau,29.9448062927006,-90.11201061163489,Private room,80,3,25,2018-05-09,0.32,1,361
79609,Moon Over Mazant Bywater's First and Best!,428909,Stephen,,St. Claude,29.96544520848666,-90.03703199735796,Entire home/apt,102,3,255,2018-07-18,2.83,1,253
80869,"Frenchmen House ""Red Room""",437783,Joanne,,Marigny,29.96771507787957,-90.06018627138633,Private room,75,1,563,2018-07-15,6.27,3,254
82922,HONEYMOON/ANNIVERSARY SUITE COUPLES,451478,Kennon Avec Ma Femme,,Tall Timbers - Brechtel,29.92162724909968,-90.02800648550962,Entire home/apt,75,4,26,2018-07-14,0.45,3,176
82930,NOLA Chateau,451478,Kennon Avec Ma Femme,,Tall Timbers - Brechtel,29.921669369132644,-90.02710867296305,Entire home/apt,55,3,24,2018-07-10,0.48,3,173
83877,NOLA'S STUDIO central to everything,2935610,Whitney,,Treme - Lafitte,29.967169876553218,-90.06733206460548,Entire home/apt,100,2,538,2018-07-29,6.04,4,129
89173,Marginy BnoB by Frenchman!,486093,Virginia,,Marigny,29.964154362830026,-90.05990568587187,Entire home/apt,130,3,308,2018-07-29,3.52,3,206
90806,Live Like a Local in Mid-City,485705,Tom,,Mid-City,29.97286596953221,-90.10188148360656,Entire home/apt,96,4,125,2018-05-29,1.50,1,336
101101,SHIRO'S SUITE - central & cute!,2935610,Whitney,,Treme - Lafitte,29.96541448574931,-90.06706322472108,Entire home/apt,99,2,466,2018-07-25,5.30,4,128
107325,"BUNNY'S suite, walk everywhere!",2935610,Whitney,,Treme - Lafitte,29.967103084182792,-90.06656059293034,Entire home/apt,95,2,438,2018-07-22,4.99,4,117
148382,Lush Sanctuary Steps to St Charles!,138383,Ariana,,Central City,29.933720111829647,-90.08374541975022,Entire home/apt,135,3,377,2018-06-27,4.43,2,0
162525,True NaWlins Flavor,776684,Leslie,,St. Claude,29.96648505329783,-90.0420912358799,Entire home/apt,120,4,265,2018-08-03,3.13,3,210
182312,SHOGAS SUITE - close to everything,2935610,Whitney,,Treme - Lafitte,29.9662936065882,-90.06793595422819,Entire home/apt,89,2,427,2018-07-28,5.02,4,119
183207,"Frenchmen House ""Rose Room""",437783,Joanne,,Marigny,29.967409649237116,-90.05994924380677,Private room,75,1,545,2018-07-22,6.52,3,155
