id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
10291,Spacious Cottage in Mid-City!,31004,Jill,,Navarre,29.98666,-90.10928,Entire home/apt,300,2,111,2019-08-22,1.07,1,319
19091,Fully Furnished Cozy Apartment,72880,John,,Leonidas,29.96257,-90.11877,Entire home/apt,100,1,457,2019-09-09,3.99,1,184
26834,Maison Mandeville in the Marigny,114452,Rachel,,Marigny,29.96557,-90.05531,Entire home/apt,120,3,240,2019-09-03,2.14,1,36
53173,BYWATER OASIS  !!!  SUITE of ROOMS 5 STAR REVIEWS,12154,Karen,,St. Claude,29.96483,-90.03906,Private room,72,2,143,2019-09-02,1.33,1,343
53544,Historical Mother in Law Cottage in Lush Garden,249527,Lee,,Bywater,29.96697,-90.03068,Entire home/apt,65,5,194,2019-09-08,1.79,2,53
66972,The Retreat in Lovely Bayou St John,329415,Geoff,,Bayou St. John,29.9759,-90.08144,Entire home/apt,123,2,199,2019-05-06,1.88,2,353
71624,Ravenwood Manor (Historic Bywater),367223,Susan,,St. Claude,29.96612,-90.03668,Entire home/apt,130,3,213,2019-07-07,2.04,1,355
74498,Maison Marais 1: Large Local Living,391462,Georgia,,St. Roch,29.97053,-90.05332,Entire home/apt,105,3,469,2019-09-02,4.53,3,246
76674,Luxury & history in the Big Easy #1,409545,Matt McShee,,Bywater,29.9619,-90.03589,Private room,99,3,178,2019-07-06,2.21,2,252
79536,FeelAtHomeInNO PrivateApt,428362,Miriam,,Seventh Ward,29.97872,-90.07405,Entire home/apt,99,1,465,2019-09-10,4.56,1,15
79542,Beautiful Room Uptown Home - License 17STR-10083,428397,James,,Marlyville - Fontainbleau,29.94481,-90.11201,Private room,80,3,32,2019-04-29,0.35,1,355
79609,"Moon Over Mazant, Bywater's First and Best",428909,Stephen,,St. Claude,29.96545,-90.03703,Entire home/apt,115,3,325,2019-09-10,3.14,1,190
80869,"Frenchmen House ""Red Room""",437783,Joanne,,Marigny,29.96772,-90.06019,Private room,75,1,647,2019-08-25,6.27,3,154
83877,NOLA'S STUDIO central to everything,2935610,David And Virginia,,Treme - Lafitte,29.9672,-90.06742,Entire home/apt,100,1,612,2019-08-30,5.97,4,78
84725,Historic UPTOWN NEW ORLEANS Resort,85132,Sanford,,Central City,29.93514,-90.08134,Private room,245,2,5,2016-01-01,0.05,7,365
89173,Marginy BnoB by Frenchman!,486093,Virginia,,Marigny,29.96415,-90.05991,Entire home/apt,130,3,364,2019-09-08,3.61,3,219
90806,Live Like a Local in Mid-City,485705,Tom,,Mid-City,29.97287,-90.10188,Entire home/apt,107,4,138,2019-07-07,1.42,1,232
100600,Bywater-5 Star Historical Home-Monthly/Bikes Avail,425706,Robert,,Bywater,29.96244,-90.03992,Entire home/apt,137,3,101,2018-12-19,0.99,2,67
101101,SHIRO'S SUITE - central & cute!,2935610,David And Virginia,,Treme - Lafitte,29.96572,-90.06757,Entire home/apt,99,1,532,2019-08-25,5.24,4,84
104089,Historical Studio in Unique Creole Home,249527,Lee,,Bywater,29.96571,-90.02871,Private room,45,4,91,2019-05-07,0.89,2,32
107325,"BUNNY'S suite, walk everywhere!",2935610,David And Virginia,,Treme - Lafitte,29.96709,-90.0668,Entire home/apt,95,1,523,2019-08-25,5.17,4,83
162525,True NaWlins Flavor,776684,Leslie,,St. Claude,29.96649,-90.04209,Entire home/apt,120,4,315,2019-09-09,3.22,3,190
182312,SHOGAS SUITE - close to everything,2935610,David And Virginia,,Treme - Lafitte,29.96628,-90.06817,Entire home/apt,89,1,496,2019-08-27,5.03,4,99
183207,"Frenchmen House ""Rose Room""",437783,Joanne,,Marigny,29.96741,-90.05995,Private room,75,1,640,2019-09-10,6.60,3,142
204998,"2 Bed, 2.5 Bath Comfort near French Quarter",1006034,Gwendolyn,,Treme - Lafitte,29.96559,-90.06836,Entire home/apt,200,3,172,2019-07-22,1.78,3,217
205008,Muse Suite- Near French Quarter,1006034,Gwendolyn,,Treme - Lafitte,29.96519,-90.07015,Entire home/apt,210,3,257,2019-08-14,2.66,3,231
