id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
10291,Spacious Cottage in Mid-City!,31004,Jill,,Navarre,29.986663211521037,-90.10928208440595,Entire home/apt,300,2,83,2018-03-31,0.96,1,289
19091,Fully Furnished Cozy Apartment,72880,John,,Leonidas,29.9625656335813,-90.11876977912294,Entire home/apt,100,1,369,2018-03-27,3.80,1,306
26834,Maison Mandeville in the Marigny,114452,Rachel,,Marigny,29.965568070820606,-90.05531293053235,Entire home/apt,115,3,198,2018-03-27,2.10,2,18
32250,Maisonette; Steps to St Charles Ave,138383,Ariana,,Central City,29.933654804353722,-90.0840317471018,Entire home/apt,140,2,389,2018-03-11,4.45,1,14
53173,MUST READ >  5 STAR REVIEWS   JAZZ FEST !  BYWATER,12154,Karen,,St. Claude,29.964832363893066,-90.03905718186576,Private room,115,4,123,2018-03-24,1.37,2,349
54254,Less than 1 mile to French Quarter,74821,Heidi,,St. Roch,29.97041267090185,-90.05485006395632,Entire home/apt,65,2,184,2018-03-18,2.12,2,216
62562,Historic House Loyal's Place All 3 Rooms,304657,John,,Treme - Lafitte,29.971178719626117,-90.07253856621988,Private room,75,2,0,,,4,84
62658,Historic Marigny Creole Home,297668,Lorelei,,Bywater,29.965223997070428,-90.05084900668965,Entire home/apt,200,3,63,2018-04-01,0.71,2,46
66972,The Retreat in Lovely Bayou St John,329415,Geoff,,Bayou St. John,29.975901926957544,-90.08143541974097,Entire home/apt,119,2,177,2018-03-29,2.00,2,322
71624,Ravenwood Manor (Historic Bywater),367223,Susan,,St. Claude,29.966119453644524,-90.03668419556287,Entire home/apt,130,2,188,2018-04-06,2.16,1,345
74498,Maison Marais 1: Large Local Living,391462,Georgia,,St. Roch,29.970528135500526,-90.05332186887223,Entire home/apt,105,3,397,2018-03-27,4.61,3,280
76674,Luxury & history in the Big Easy #1,409545,Matt McShee,,Bywater,29.961895595989976,-90.0358852850365,Private room,99,3,146,2018-03-27,2.32,2,158
79536,SpaciousCleanFunctional Private Apt,428362,Miriam,,Seventh Ward,29.97871698813793,-90.07405177235498,Entire home/apt,91,3,372,2018-03-31,4.41,1,60
79542,Beautiful Room Uptown Home - License 17STR-10083,428397,Beth,,Marlyville - Fontainbleau,29.9448062927006,-90.11201061163489,Private room,94,3,21,2018-03-25,0.28,1,344
79609,Moon Over Mazant  Bywater's Best!,428909,Stephen,,St. Claude,29.96544520848666,-90.03703199735796,Entire home/apt,95,3,242,2018-03-29,2.81,1,254
80869,"Frenchmen House ""Red Room""",437783,Joanne,,Marigny,29.96771507787957,-90.06018627138633,Private room,75,1,533,2018-03-23,6.22,3,163
82922,HONEYMOON/ANNIVERSARY SUITE COUPLES,451478,Kennon Avec Ma Femme,,Tall Timbers - Brechtel,29.92162724909968,-90.02800648550962,Entire home/apt,63,5,18,2018-03-24,0.33,3,52
82930,New Orleans 1-bedroom bungalow,451478,Kennon Avec Ma Femme,,Tall Timbers - Brechtel,29.921669369132644,-90.02710867296305,Entire home/apt,55,5,13,2018-03-24,0.28,3,63
83877,NOLA'S STUDIO central to everything,2935610,Whitney,,Treme - Lafitte,29.967169876553218,-90.06733206460548,Entire home/apt,100,2,510,2018-03-16,6.00,4,124
89173,Marginy BnoB in the Frenchman Area!,486093,Virginia,,Marigny,29.964154362830026,-90.05990568587187,Entire home/apt,130,3,288,2018-03-30,3.45,3,200
