id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
10291,Spacious Cottage in Mid-City!,31004,Jill,,Navarre,29.986663211521037,-90.10928208440595,Entire home/apt,300,2,93,2018-12-28,0.97,1,339
19091,Fully Furnished Cozy Apartment,72880,John,,Leonidas,29.9625656335813,-90.11876977912294,Entire home/apt,100,1,425,2019-01-29,3.96,1,286
26834,Maison Mandeville in the Marigny,114452,Rachel,,Marigny,29.965568070820606,-90.05531293053235,Entire home/apt,115,4,218,2019-01-20,2.08,2,18
53173,$150.  JAN. SALE    HUNDREDS 5 STAR REVIEWS !!!,12154,Karen,,St. Claude,29.964832363893066,-90.03905718186576,Private room,115,3,132,2019-01-21,1.32,2,353
53544,Historical Bywater Mother in Law Cottage,249527,Lee,,Bywater,29.966971716132523,-90.03068379266907,Entire home/apt,50,5,180,2019-01-25,1.78,2,28
66972,The Retreat in Lovely Bayou St John,329415,Geoff,,Bayou St. John,29.975901926957544,-90.08143541974097,Entire home/apt,123,2,191,2019-01-20,1.94,2,326
71624,Ravenwood Manor (Historic Bywater),367223,Susan,,St. Claude,29.966119453644524,-90.03668419556287,Entire home/apt,130,3,201,2019-01-02,2.07,1,329
74498,Maison Marais 1: Large Local Living,391462,Georgia,,St. Roch,29.970528135500526,-90.05332186887223,Entire home/apt,105,3,439,2019-01-14,4.57,3,279
76674,Luxury & history in the Big Easy #1,409545,Matt McShee,,Bywater,29.961895595989976,-90.0358852850365,Private room,99,3,162,2019-01-01,2.22,2,212
79536,SpaciousCleanFunctional Private Apt,428362,Miriam,,Seventh Ward,29.97871698813793,-90.07405177235498,Entire home/apt,91,3,419,2018-12-02,4.44,1,27
79542,Beautiful Room Uptown Home - License 17STR-10083,428397,James,,Marlyville - Fontainbleau,29.9448062927006,-90.11201061163489,Private room,80,3,27,2018-10-29,0.32,1,316
79609,Moon Over Mazant Bywater's First and Best!,428909,Stephen,,St. Claude,29.96544520848666,-90.03703199735796,Entire home/apt,102,3,276,2019-01-28,2.87,1,249
80869,"Frenchmen House ""Red Room""",437783,Joanne,,Marigny,29.96771507787957,-90.06018627138633,Private room,75,1,599,2019-01-14,6.25,3,268
82922,HONEYMOON/ANNIVERSARY SUITE COUPLES,451478,Kennon Avec Ma Femme,,Tall Timbers - Brechtel,29.92162724909968,-90.02800648550962,Entire home/apt,75,4,30,2019-01-01,0.47,2,106
82930,NOLA Chateau,451478,Kennon Avec Ma Femme,,Tall Timbers - Brechtel,29.921669369132644,-90.02710867296305,Entire home/apt,55,3,28,2019-01-07,0.50,2,123
83877,NOLA'S STUDIO central to everything,2935610,Dave,,Treme - Lafitte,29.967169876553218,-90.06733206460548,Entire home/apt,100,1,565,2019-01-01,5.94,4,116
84725,Historic UPTOWN NEW ORLEANS RESORT ,85132,Sanford,,Central City,29.9351365559254,-90.0813362973836,Private room,285,2,5,2016-01-01,0.06,7,365
89173,Marginy BnoB by Frenchman!,486093,Virginia,,Marigny,29.964154362830026,-90.05990568587187,Entire home/apt,130,3,330,2019-01-16,3.53,2,170
90806,Live Like a Local in Mid-City,485705,Tom,,Mid-City,29.97286596953221,-90.10188148360656,Entire home/apt,107,4,134,2019-01-22,1.50,1,263
