id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
16926858,Beautiful Home in the Garden District,2851267,Melinda,,Garden District,29.930024612961805,-90.08320432581033,Private room,192,2,3,2017-05-08,0.57,9,245
7732901,Large& Spacious on Magazine Street!,34686272,Duncan,,Garden District,29.925483954381203,-90.08628579795439,Entire home/apt,229,2,37,2017-07-16,1.98,1,282
15450063,Fully Renovated 1890's Carriage House,4040483,Casey,,Garden District,29.93000411457607,-90.08645693113968,Entire home/apt,500,3,20,2017-07-16,2.17,1,340
16596408,Meet Me at the Mardi Gras!,34208426,Liz,,Garden District,29.930541423221218,-90.08616251268272,Entire home/apt,495,2,1,2017-02-12,0.17,2,358
10878088,Garden District's awesome view of St. Charles Ave.,15955611,Julia,,Garden District,29.92990975444131,-90.08630089583868,Entire home/apt,275,2,40,2017-07-15,2.29,2,333
16579302,Charming Garden District Private Apartment,51157115,Brittney,,Garden District,29.929248515865144,-90.08656576449084,Entire home/apt,139,1,21,2017-07-01,3.41,2,211
914617,Parks-Bowman Mansion: The Library,4795675,Adrienne,,Garden District,29.927366407768638,-90.08222442071569,Private room,120,1,284,2017-07-20,5.20,3,241
12548755,"Light, Airy Garden District Studio",8468712,Mara,,Garden District,29.927950430150315,-90.08263398053782,Entire home/apt,195,2,4,2017-05-07,0.28,1,0
16928530,Gorgeous Home in the Garden District!,2851267,Melinda,,Garden District,29.931125943676992,-90.08323158526075,Private room,241,2,0,,,9,275
16253394,"Clean, comfy apartment in a fantastic location in New Orleans!",106269510,Allora,,Garden District,29.926880121298087,-90.08447534461703,Entire home/apt,99,2,14,2017-07-07,1.41,1,178
914581,Parks-Bowman Mansion: The Haunted Bedroom,4795675,Adrienne,,Garden District,29.92962838135972,-90.08423555663697,Private room,115,1,238,2017-07-09,4.43,3,324
1201040,Garden Distr charmer porch & yard near everything!,262235,Liz,,Garden District,29.928533383239994,-90.08503639008676,Entire home/apt,199,1,17,2017-07-16,0.43,1,325
914407,Parks-Bowman Mansion: The Red Room,4795675,Adrienne,,Garden District,29.929124755354692,-90.08346978657194,Private room,110,1,279,2017-07-17,5.20,3,328
17953799,New! Walker Mansion on St Charles Unit 1-StreetCar,123023715,Candy,,Garden District,29.931732020194186,-90.08406934680275,Entire home/apt,700,3,10,2017-07-31,2.59,2,355
5026237,Decorator's House near Magazine St.,25939972,Valorie,,Garden District,29.92540914943898,-90.08408315172068,Entire home/apt,200,2,51,2017-07-05,1.76,1,246
