id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
16579302,Charming Garden District Private Apartment,51157115,Brittney,,Garden District,29.929248515865144,-90.08656576449084,Entire home/apt,139,1,6,2017-02-27,5.29,2,322
9385410,Directly on the streetcar line!,48273922,David,,Garden District,29.931859491383094,-90.08351340693639,Entire home/apt,750,2,38,2017-02-19,2.48,2,80
2139985,Ideal location with gorgeous porch,1362394,Luke,,Garden District,29.928447925366804,-90.08197477826911,Entire home/apt,99,2,34,2017-02-13,0.88,1,353
13826494,Garden District Apartment,71464439,Colette,,Garden District,29.924630534232943,-90.08663576750746,Entire home/apt,71,1,0,,,1,0
11664321,Irish Channel West Indies Cottage,2971062,Rich,,Garden District,29.923505485300463,-90.0877034078427,Entire home/apt,175,1,0,,,1,0
914407,Parks-Bowman Mansion: The Red Room,4795675,Adrienne,,Garden District,29.929124755354692,-90.08346978657194,Private room,110,1,248,2017-02-17,5.10,3,316
17417235,Great Garden District home! :),10717297,Brittany,,Garden District,29.927379998835626,-90.08599538215715,Entire home/apt,448,1,0,,,1,180
14804135,Garden District Home One Block to St. Charles Ave,20673824,Shannon,,Garden District,29.931797438508333,-90.0840387511038,Entire home/apt,135,2,2,2017-02-20,0.33,1,142
2137891,"Sunny, Beautiful Apartment - Garden District",10910246,Laszlo,,Garden District,29.930587626578742,-90.08245226383943,Entire home/apt,249,2,12,2017-02-27,0.32,1,119
14278844,Historical Garden District Shotgun Home,9878163,Joe,,Garden District,29.926006315697073,-90.087382334832,Entire home/apt,75,1,26,2017-03-03,4.46,1,36
4855191,Guest House in the Garden District,24976667,Alex,,Garden District,29.930905614085596,-90.08258175677157,Entire home/apt,250,2,52,2017-01-03,2.09,1,334
16928407,Garden District Boutique Inn - Tchoupitoulas Room,2851267,Melinda,,Garden District,29.930057158610335,-90.0853845212313,Private room,175,2,0,,,9,318
14594476,"Relaxing Garden District Apt, Close to Everything",7454220,Brenna,,Garden District,29.926209217903715,-90.08729764911384,Entire home/apt,180,2,2,2016-11-14,0.48,1,0
3257647,Guesthouse W/ Beautiful Courtyard!,16474497,Kristen,,Garden District,29.93098330811092,-90.08423535626264,Entire home/apt,85,3,116,2017-02-15,3.91,1,307
914617,Parks-Bowman Mansion: The Library,4795675,Adrienne,,Garden District,29.927366407768638,-90.08222442071569,Private room,120,1,242,2017-02-20,4.88,3,246
10331478,Private Garden District  Studio,53165853,Joseph,,Garden District,29.927554264881188,-90.08732567909149,Entire home/apt,125,1,22,2017-02-20,1.73,1,323
9184851,The Hobbit - uptown oasis,47787040,Carlos,,Garden District,29.925844887936467,-90.0863097324227,Entire home/apt,109,2,48,2017-02-21,2.94,2,60
11302837,"On Magazine Street, Heart of Garden District",22362895,Rud,,Garden District,29.928078555988833,-90.08269432037663,Private room,50,4,32,2017-01-10,2.54,1,71
11813186,Fab Garden Dist/Magazine Townhouse/Prime Location,46417812,Jan,,Garden District,29.925688264418195,-90.08637349451962,Entire home/apt,395,4,24,2017-03-01,2.24,2,144
16926470,A Garden District Boutique Inn - Carrollton,2851267,Melinda,,Garden District,29.931364587530098,-90.08357257460752,Private room,192,2,0,,,9,320
16540162,Cozy Garden District Getaway,2851267,Melinda,,Garden District,29.931626991183222,-90.08450296856726,Private room,241,2,0,,,9,313
17407858,Garden District oasis with pool!,7042720,Shira,,Garden District,29.927647685296893,-90.08158489505631,Entire home/apt,1200,2,0,,,1,179
1068734,Garden District Apt -coolest area!,4853969,Christynn,,Garden District,29.92518379970738,-90.08621098079762,Entire home/apt,275,1,6,2014-07-01,0.14,1,365
6540997,Charm in the Garden District,34208426,Liz,,Garden District,29.929756855963202,-90.08616419770345,Entire home/apt,450,1,27,2017-02-20,1.27,1,345
17386805,Magazine st. Apartment,93856168,Shaun,,Garden District,29.925669936756368,-90.085698392728,Entire home/apt,275,2,0,,,1,177
12514073,Spacious 2 BD/2 BA Walk to Parades!,18992328,Joseph,,Garden District,29.925744551470363,-90.08333493379835,Entire home/apt,150,2,6,2017-01-04,0.73,1,59
15885783,Irish Channel charm w/ a modern flair!,103017326,Vika,,Garden District,29.92802171229999,-90.07934418590925,Entire home/apt,70,2,4,2017-02-19,1.85,1,141
16913630,Cozy Garden District Stay 1 block from Streetcar,2851267,Melinda,,Garden District,29.930238569520984,-90.08483821848687,Private room,143,2,0,,,9,325
11847847,Luxury Garden Dist. Carriage House,8254025,Denver,,Garden District,29.924135431013305,-90.08698863824472,Entire home/apt,97,3,0,,,1,0
16133766,Garden District Gem - Townhome 2,23621291,Ravi,,Garden District,29.926892869995743,-90.08243188193664,Entire home/apt,650,3,0,,,5,340
12950331,Prime Location: Fab Garden Dist/Magazine Townhouse,46417812,Jan,,Garden District,29.92517304710677,-90.0873653209833,Entire home/apt,350,1,5,2017-02-19,0.83,2,141
16253394,"Clean, comfy apartment in a fantastic location in New Orleans!",106269510,Allora,,Garden District,29.926880121298087,-90.08447534461703,Entire home/apt,99,2,6,2017-02-06,1.22,1,139
15610091,"Beautiful, Garden District Uptown Home (2 Rms)",65487233,Bethany,,Garden District,29.9266557299104,-90.08448708326016,Entire home/apt,300,2,1,2017-02-27,1,1,92
15931466,Perfect Location! Central Garden District,3018143,Mark & Angela,,Garden District,29.927468875051662,-90.08434085497652,Entire home/apt,159,3,2,2017-01-21,0.97,2,27
16926972,Charming New Orleans Garden District Stay!,2851267,Melinda,,Garden District,29.929506903305413,-90.08518410192679,Private room,241,2,0,,,9,312
12548755,"Light, Airy Garden District Studio",8468712,Mara,,Garden District,29.927950430150315,-90.08263398053782,Entire home/apt,225,1,1,2016-05-30,0.11,1,35
16874279,1 BD in the heart of the Garden District,769901,Pat,,Garden District,29.927384971709607,-90.08043648909465,Entire home/apt,125,2,0,,,1,62
15450063,Mardi Gras Carriage House steps from parade route!,4040483,Casey,,Garden District,29.93000411457607,-90.08645693113968,Entire home/apt,500,3,4,2017-02-19,0.96,2,145
16926644,Garden District Getaway 1 block from Streetcar,2851267,Melinda,,Garden District,29.93136492055056,-90.08358480560682,Private room,252,2,1,2017-02-26,1,9,305
7732901,Large& Spacious on Magazine Street!,34686272,Duncan,,Garden District,29.925483954381203,-90.08628579795439,Entire home/apt,229,2,25,2017-02-26,1.83,1,283
10925522,Mansion on St. Charles Ave,13714179,Jeanne,,Garden District,29.929111115689878,-90.08869771124672,Entire home/apt,175,2,22,2017-03-01,1.86,4,350
5026237,Decorator's House Magazine Street,25939972,Valorie,,Garden District,29.92540914943898,-90.08408315172068,Entire home/apt,200,2,39,2017-02-25,1.63,1,307
12562504,The Heart of Magazine Street,12992223,Terrie,,Garden District,29.92506478277737,-90.08698139889859,Entire home/apt,150,1,6,2017-02-25,0.64,1,351
13447987,GARDEN DISTRICT DOUBLE,24926274,Chris,,Garden District,29.927168108537913,-90.08512166022777,Entire home/apt,175,2,6,2017-01-01,1.25,1,178
13397049,Garden District Entire Property - Sleeps 16!,70818097,Thomas,,Garden District,29.92858287243305,-90.08383428947927,Entire home/apt,600,3,9,2017-03-01,1.56,3,35
14673296,Garden District Mansion Apartment,7019253,Travis Hale,,Garden District,29.927668699285984,-90.08161209103152,Entire home/apt,140,1,17,2017-02-15,2.82,1,335
13396804,Garden District- Steps to Streetcar -Sleeps 6,70818097,Thomas,,Garden District,29.930241492308323,-90.08203729950354,Entire home/apt,150,3,12,2017-01-30,1.61,3,55
